[DEBUG] 2021-02-19 18:52:27.184 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-19 18:52:27.197 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-19 18:52:27.205 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-19 18:52:27.349 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-19 18:52:27.354 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-19 18:52:27.663 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-19 18:52:27.677 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-19 18:52:27.691 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-19 18:52:28.225 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-19 18:52:28.254 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-19 18:52:28.255 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-19 18:52:28.268 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-19 18:52:28.304 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@349d0836
[DEBUG] 2021-02-19 18:52:28.304 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@349d0836
[DEBUG] 2021-02-19 18:52:28.304 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@349d0836
[DEBUG] 2021-02-19 18:52:28.304 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2e3a5237
[DEBUG] 2021-02-19 18:52:28.304 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@35c09b94
[DEBUG] 2021-02-19 18:52:28.305 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4a699efa
[DEBUG] 2021-02-19 18:52:28.305 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@42f22995
[DEBUG] 2021-02-19 18:52:28.305 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@42f22995
[DEBUG] 2021-02-19 18:52:28.305 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@42f22995
[DEBUG] 2021-02-19 18:52:28.306 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@29182679
